seq_num,timestamp_ms,ecg_val,resp_val,spo2_val,temp_val,fault_status
0,0.0,0.7254772105499813,0.35386211737418743,98.0,37.0,CLEAN
1,8.0,0.6705965828174644,0.3567918942838832,98.0,37.0,CLEAN
2,16.0,0.60980855901558,0.358745078890347,98.0,37.0,CLEAN
3,24.0,0.5509794644802216,0.3616748558000427,98.0,37.0,CLEAN
4,32.0,0.4999860870109672,0.36364329966124453,98.0,37.0,CLEAN
5,40.0,0.45490010561108013,0.36559648426770835,98.0,37.0,CLEAN
6,48.0,0.4098141242111931,0.3665730765709403,98.0,37.0,CLEAN
7,56.0,0.39019422327614384,0.3685262611774041,98.0,37.0,CLEAN
8,64.0,0.374522789143936,0.3685262611774041,98.0,37.0,CLEAN
9,72.0,0.3588207467419387,0.3685262611774041,98.0,37.0,CLEAN
10,80.0,0.3549028882088867,0.3685262611774041,98.0,37.0,CLEAN
11,88.0,0.34902610040930876,0.3675496688741722,98.0,37.0,CLEAN
12,96.0,0.3549028882088867,0.3665730765709403,98.0,37.0,CLEAN
13,104.0,0.3646975345415166,0.36559648426770835,98.0,37.0,CLEAN
14,112.0,0.3549028882088867,0.3616748558000427,98.0,37.0,CLEAN
15,120.0,0.3646975345415166,0.358745078890347,98.0,37.0,CLEAN
16,128.0,0.374522789143936,0.35288552507095555,98.0,37.0,CLEAN
17,136.0,0.37057432234109455,0.3470259712515641,98.0,37.0,CLEAN
18,144.0,0.39019422327614384,0.34115115817743463,98.0,37.0,CLEAN
19,152.0,0.39019422327614384,0.33431501205481123,98.0,37.0,CLEAN
20,160.0,0.39019422327614384,0.3274636066774499,98.0,37.0,CLEAN
21,168.0,0.3941120818091958,0.32160405285805843,98.0,37.0,CLEAN
22,176.0,0.4039067281418257,0.31182287057100133,98.0,37.0,CLEAN
23,184.0,0.4039067281418257,0.3030335398419141,98.0,37.0,CLEAN
24,192.0,0.3999888696087737,0.29227576525162513,98.0,37.0,CLEAN
25,200.0,0.3941120818091958,0.2815179906613361,98.0,37.0,CLEAN
26,208.0,0.3843174354765659,0.2688222907193213,98.0,37.0,CLEAN
27,216.0,0.3843174354765659,0.25611133152256843,98.0,37.0,CLEAN
28,224.0,0.38039957694351395,0.2424237800225837,98.0,37.0,CLEAN
29,232.0,0.39019422327614384,0.22873622852259895,98.0,37.0,CLEAN
30,240.0,0.4039067281418257,0.21799371318704794,98.0,37.0,CLEAN
31,248.0,0.419608770543823,0.20625934629352702,98.0,37.0,CLEAN
32,256.0,0.419608770543823,0.19647816400646992,98.0,37.0,CLEAN
33,264.0,0.42548555834340096,0.18768883327738273,98.0,37.0,CLEAN
34,272.0,0.42548555834340096,0.17790765099032563,98.0,37.0,CLEAN
35,280.0,0.3999888696087737,0.16910306100650044,98.0,37.0,CLEAN
36,288.0,0.39019422327614384,0.16129032258064516,98.0,37.0,CLEAN
37,296.0,0.4039067281418257,0.15347758415478988,98.0,37.0,CLEAN
38,304.0,0.419608770543823,0.1466261787774285,98.0,37.0,CLEAN
39,312.0,0.42940341687645295,0.14076662495803705,98.0,37.0,CLEAN
40,320.0,0.4352802046760309,0.1368449964903714,98.0,37.0,CLEAN
41,328.0,0.42940341687645295,0.13293862727744377,98.0,37.0,CLEAN
42,336.0,0.4156909120107711,0.13000885036774804,98.0,37.0,CLEAN
43,344.0,0.4098141242111931,0.1261024811548204,98.0,37.0,CLEAN
44,352.0,0.4156909120107711,0.12414929654835657,98.0,37.0,CLEAN
45,360.0,0.419608770543823,0.12121951963866084,98.0,37.0,CLEAN
46,368.0,0.4039067281418257,0.11925107577745903,98.0,37.0,CLEAN
47,376.0,0.34902610040930876,0.1163212988677633,98.0,37.0,CLEAN
48,384.0,0.654894540415467,0.11436811426129947,98.0,37.0,CLEAN
49,392.0,1.503906727835743,0.11241492965483565,98.0,37.0,CLEAN
50,400.0,1.503906727835743,0.11046174504837183,98.0,37.0,CLEAN
51,408.0,1.503906727835743,0.10850856044190801,98.0,37.0,CLEAN
52,416.0,0.6607713282150449,0.1065553758354442,98.0,37.0,CLEAN
53,424.0,0.42940341687645295,0.10557878353221228,98.0,37.0,CLEAN
54,432.0,0.419608770543823,0.10165715506454664,98.0,37.0,CLEAN
55,440.0,0.4039067281418257,0.09872737815485091,98.0,37.0,CLEAN
56,448.0,0.3843174354765659,0.09482100894192327,98.0,37.0,CLEAN
57,456.0,0.34902610040930876,0.08993804742576372,98.0,37.0,CLEAN
58,464.0,0.3392008458068894,0.08601641895809808,98.0,37.0,CLEAN
59,472.0,0.3549028882088867,0.08211004974517044,98.0,37.0,CLEAN
60,480.0,0.38039957694351395,0.0782036805322428,98.0,37.0,CLEAN
61,488.0,0.38039957694351395,0.07527390362254707,98.0,37.0,CLEAN
62,496.0,0.39019422327614384,0.07037568285164952,98.0,37.0,CLEAN
63,504.0,0.4039067281418257,0.06549272133548997,98.0,37.0,CLEAN
64,512.0,0.3941120818091958,0.06060975981933042,98.0,37.0,CLEAN
65,520.0,0.4039067281418257,0.05473494674520096,98.0,37.0,CLEAN
66,528.0,0.42940341687645295,0.0488753929258095,98.0,37.0,CLEAN
67,536.0,0.4352802046760309,0.04399243140964995,98.0,37.0,CLEAN
68,544.0,0.4392286714788723,0.03811761833552049,98.0,37.0,CLEAN
69,552.0,0.4607768934106581,0.03323465681936094,98.0,37.0,CLEAN
70,560.0,0.48431465287875936,0.02835169530320139,98.0,37.0,CLEAN
71,568.0,0.5156881294129645,0.02444532609027375,98.0,37.0,CLEAN
72,576.0,0.5509794644802216,0.02247688222907193,98.0,37.0,CLEAN
73,584.0,0.605890700482528,0.0195471053193762,98.0,37.0,CLEAN
74,592.0,0.654894540415467,0.0195471053193762,98.0,37.0,CLEAN
75,600.0,0.6960932715520916,0.01857051301614429,98.0,37.0,CLEAN
76,608.0,0.7254772105499813,0.0195471053193762,98.0,37.0,CLEAN
77,616.0,0.7411792529519786,0.02150028992584002,98.0,37.0,CLEAN
78,624.0,0.7509738992846084,0.023453474532303842,98.0,37.0,CLEAN
79,632.0,0.7411792529519786,0.02639851069673757,98.0,37.0,CLEAN
80,640.0,0.7156825642173513,0.03030487990966521,98.0,37.0,CLEAN
81,648.0,0.6647197950178864,0.03518784142582476,98.0,37.0,CLEAN
82,656.0,0.605890700482528,0.04203924680318613,98.0,37.0,CLEAN
83,664.0,0.5451026766806437,0.04985198522904141,98.0,37.0,CLEAN
84,672.0,0.4745200065461294,0.06060975981933042,98.0,37.0,CLEAN
85,680.0,0.42940341687645295,0.07037568285164952,98.0,37.0,CLEAN
86,688.0,0.3843174354765659,0.08211004974517044,98.0,37.0,CLEAN
87,696.0,0.3451082418762568,0.09482100894192327,98.0,37.0,CLEAN
88,704.0,0.3196115531416296,0.1075319681386761,98.0,37.0,CLEAN
89,712.0,0.3098169068089997,0.12121951963866084,98.0,37.0,CLEAN
90,720.0,0.3098169068089997,0.13391521958067568,98.0,37.0,CLEAN
91,728.0,0.3098169068089997,0.1466261787774285,98.0,37.0,CLEAN
92,736.0,0.3039095107396323,0.15933713797418134,98.0,37.0,CLEAN
93,744.0,0.29411486440700235,0.17107150486770226,98.0,37.0,CLEAN
94,752.0,0.2999916522065803,0.184743797112949,98.0,37.0,CLEAN
95,760.0,0.3294061994742595,0.19745475630970183,98.0,37.0,CLEAN
96,768.0,0.3294061994742595,0.21114230780968657,98.0,37.0,CLEAN
97,776.0,0.3235294116746816,0.22580645161290322,98.0,37.0,CLEAN
98,784.0,0.3392008458068894,0.23754081850642414,98.0,37.0,CLEAN
99,792.0,0.3294061994742595,0.25025177770317697,98.0,37.0,CLEAN
100,800.0,0.33528298727383743,0.2619708853419599,98.0,37.0,CLEAN
101,808.0,0.3392008458068894,0.2737052522354808,98.0,37.0,CLEAN
102,816.0,0.3392008458068894,0.28446302682576985,98.0,37.0,CLEAN
103,824.0,0.3392008458068894,0.29520554216132083,98.0,37.0,CLEAN
104,832.0,0.3392008458068894,0.30596331675160987,98.0,37.0,CLEAN
105,840.0,0.33528298727383743,0.31672109134189885,98.0,37.0,CLEAN
106,848.0,0.3294061994742595,0.3284401989806818,98.0,37.0,CLEAN
107,856.0,0.3196115531416296,0.3401745658742027,98.0,37.0,CLEAN
108,864.0,0.3294061994742595,0.3519089327677236,98.0,37.0,CLEAN
109,872.0,0.33528298727383743,0.36364329966124453,98.0,37.0,CLEAN
110,880.0,0.3392008458068894,0.3743858149967956,98.0,37.0,CLEAN
111,888.0,0.3549028882088867,0.38514358958708456,98.0,37.0,CLEAN
112,896.0,0.3646975345415166,0.3939329203161718,98.0,37.0,CLEAN
113,904.0,0.3451082418762568,0.4037141026032289,98.0,37.0,CLEAN
114,912.0,0.33528298727383743,0.41447187719351786,98.0,37.0,CLEAN
115,920.0,0.31373476534205164,0.4252143925290689,98.0,37.0,CLEAN
116,928.0,0.3098169068089997,0.4379253517258217,98.0,37.0,CLEAN
117,936.0,0.31373476534205164,0.4496597186193426,98.0,37.0,CLEAN
118,944.0,0.3294061994742595,0.46139408551286354,98.0,37.0,CLEAN
119,952.0,0.3196115531416296,0.47311319315164646,98.0,37.0,CLEAN
120,960.0,0.33528298727383743,0.4838709677419355,98.0,37.0,CLEAN
121,968.0,0.3098169068089997,0.4956053346354564,98.0,37.0,CLEAN
122,976.0,0.3098169068089997,0.5083162938322092,98.0,37.0,CLEAN
123,984.0,0.3039095107396323,0.521988586077456,98.0,37.0,CLEAN
124,992.0,0.3098169068089997,0.5356761375774407,98.0,37.0,CLEAN
125,1000.0,0.31373476534205164,0.5503402813806574,98.0,37.0,CLEAN
126,1008.0,0.2647003171393232,0.5669576097903378,98.0,37.0,CLEAN
127,1016.0,0.45490010561108013,0.5825983458967864,98.0,37.0,CLEAN
128,1024.0,1.2078329341622147,0.5992156743064668,98.0,37.0,CLEAN
129,1032.0,1.503906727835743,0.6168095950193793,98.0,37.0,CLEAN
130,1040.0,1.503906727835743,0.6324503311258278,98.0,37.0,CLEAN
131,1048.0,0.8255050362219641,0.6471144749290445,98.0,37.0,CLEAN
132,1056.0,0.33528298727383743,0.6617786187322611,98.0,37.0,CLEAN
133,1064.0,0.31373476534205164,0.6754661702322459,98.0,37.0,CLEAN
134,1072.0,0.33528298727383743,0.6901303140354625,98.0,37.0,CLEAN
135,1080.0,0.31373476534205164,0.7038178655354472,98.0,37.0,CLEAN
136,1088.0,0.3098169068089997,0.7184820093386639,98.0,37.0,CLEAN
137,1096.0,0.3039095107396323,0.7331308938871426,98.0,37.0,CLEAN
